Pc_bar,OF,Pamb_atm,eps_at_Pamb_interp
25.0,6.5,0.855,4.698376597913889

eps,p_exit_atm
0.5,25.0
1.0,14.3
1.5,4.981
2.0,3.0796
2.5,2.1704
3.0,1.6451
3.5,1.3074
4.0,1.0746
4.5,0.90559
5.0,0.77808
5.5,0.67894
6.0,0.59995
6.5,0.53574
7.0,0.48266
7.5,0.43815
8.0,0.40036
8.5,0.36793
9.0,0.33984
9.5,0.3153
10.0,0.2937
10.5,0.27458
11.0,0.25754
11.5,0.24228
12.0,0.22853
12.5,0.2161
13.0,0.20481
13.5,0.19452
14.0,0.1851
14.5,0.17645
15.0,0.1685
15.5,0.16115
16.0,0.15435
16.5,0.14804
17.0,0.14216
17.5,0.13669
18.0,0.13158
18.5,0.12679
19.0,0.12231
19.5,0.11809
20.0,0.11413
20.5,0.11039
21.0,0.10687
21.5,0.10353
22.0,0.10038
22.5,0.09739
23.0,0.09456
23.5,0.09187
24.0,0.08931
24.5,0.08687
25.0,0.08455
